source_file,Hospital Centinela,Total de casos,Nº casos positivos,VRS,Ad,Para,Inf A,Inf B,semana,año
SE09_08-03-2022.pdf,"Santiago, Consultorio Avendaño",1,0,0,0,0,0,0,SE09,2022
SE51_27-12-2022.pdf,R.M. Sur Exequiel González C.,14,0,0,0,0,0,0,SE51,2022
SE51_27-12-2022.pdf,R.M. Occidente Félix Bulnes,63,6,0,2,3,1,0,SE51,2022
SE51_27-12-2022.pdf,R.M. Occidente San Juan de Dios,60,13,0,0,2,3,2,SE51,2022
SE51_27-12-2022.pdf,R.M. Suroriente Padre Hurtado,75,8,0,5,3,0,0,SE51,2022
SE51_27-12-2022.pdf,R.M. Oriente Hospital del Tórax,25,1,0,1,0,0,0,SE51,2022
SE51_27-12-2022.pdf,R.M. Oriente Hospital Militar,9,3,0,0,0,1,0,SE51,2022
SE51_27-12-2022.pdf,"Santiago, Consultorio Steeger",6,2,1,1,0,0,0,SE51,2022
SE51_27-12-2022.pdf,"Santiago, Consultorio Avendaño",1,0,0,0,0,0,0,SE51,2022
SE51_27-12-2022.pdf,"Santiago, Consultorio Barros Luco",2,0,0,0,0,0,0,SE51,2022
SE51_27-12-2022.pdf,Otros R.M**,5,5,0,0,0,5,0,SE51,2022
SE12_26-03-2024.pdf,R.M. Sur Exequiel González C.,38,0,0,0,0,0,0,SE12,2024
SE12_26-03-2024.pdf,R.M. Occidente Félix Bulnes,110,68,0,3,3,0,0,SE12,2024
SE12_26-03-2024.pdf,R.M. Occidente San Juan de Dios,116,23,1,1,0,1,0,SE12,2024
SE12_26-03-2024.pdf,R.M. Suroriente Padre Hurtado,92,9,0,0,0,1,0,SE12,2024
SE12_26-03-2024.pdf,R.M. Oriente Hospital del Tórax,27,7,0,0,0,5,0,SE12,2024
SE12_26-03-2024.pdf,R.M. Oriente Hospital Militar,3,1,0,0,0,0,0,SE12,2024
SE12_26-03-2024.pdf,"Santiago, Consultorio Steeger",5,2,0,1,0,0,0,SE12,2024
SE12_26-03-2024.pdf,"Santiago, Consultorio Avendaño",3,3,0,1,0,0,0,SE12,2024
SE12_26-03-2024.pdf,"Santiago, Consultorio 5",20,7,1,0,0,1,0,SE12,2024
SE12_26-03-2024.pdf,"Santiago, Consultorio Barros Luco",1,0,0,0,0,0,0,SE12,2024
SE12_26-03-2024.pdf,"Santiago, Consultorio Ariztía",2,2,0,0,0,0,0,SE12,2024
SE36_10-09-2024.pdf,R.M. Sur Exequiel González C.,99,55,4,4,11,2,1,SE36,2024
SE36_10-09-2024.pdf,R.M. Occidente Félix Bulnes,155,98,14,8,6,1,1,SE36,2024
SE36_10-09-2024.pdf,R.M. Occidente San Juan de Dios,129,39,6,1,4,0,1,SE36,2024
SE36_10-09-2024.pdf,R.M. Suroriente Padre Hurtado,143,46,10,4,12,0,0,SE36,2024
SE36_10-09-2024.pdf,R.M. Oriente Hospital del Tórax,13,5,1,1,0,0,0,SE36,2024
SE36_10-09-2024.pdf,R.M. Oriente Hospital Militar,14,10,0,1,1,0,0,SE36,2024
SE36_10-09-2024.pdf,"Santiago, Consultorio Steeger",5,3,0,0,1,0,1,SE36,2024
SE36_10-09-2024.pdf,"Santiago, Consultorio Avendaño",5,3,0,1,0,0,0,SE36,2024
SE36_10-09-2024.pdf,"Santiago, Consultorio 5",7,1,0,0,0,0,0,SE36,2024
SE36_10-09-2024.pdf,"Santiago, Consultorio Barros Luco",6,0,0,0,0,0,0,SE36,2024
SE36_10-09-2024.pdf,"Santiago, Consultorio Ariztía",6,6,0,0,1,0,1,SE36,2024
SE07_23-02-2021.pdf,R.M. Sur Exequiel González C.,1,0,0,0,0,0,0,SE07,2021
SE07_23-02-2021.pdf,R.M. Occidente Félix Bulnes,10,1,0,1,0,0,0,SE07,2021
SE07_23-02-2021.pdf,R.M. Occidente San Juan de Dios,46,0,0,0,0,0,0,SE07,2021
SE07_23-02-2021.pdf,R.M. Suroriente Padre Hurtado,0,0,0,0,0,0,0,SE07,2021
SE07_23-02-2021.pdf,R.M. Oriente Hospital del Tórax,6,0,0,0,0,0,0,SE07,2021
SE07_23-02-2021.pdf,R.M. Oriente Hospital Militar,4,0,0,0,0,0,0,SE07,2021
SE28_18-07-2023.pdf,R.M. Sur Exequiel González C.,47,30,17,0,2,0,1,SE28,2023
SE28_18-07-2023.pdf,R.M. Occidente Félix Bulnes,136,68,30,2,5,1,2,SE28,2023
SE28_18-07-2023.pdf,R.M. Occidente San Juan de Dios,133,28,13,3,3,1,1,SE28,2023
SE28_18-07-2023.pdf,R.M. Suroriente Padre Hurtado,148,20,10,4,0,0,3,SE28,2023
SE28_18-07-2023.pdf,R.M. Oriente Hospital del Tórax,35,5,3,0,0,0,0,SE28,2023
SE28_18-07-2023.pdf,R.M. Oriente Hospital Militar,7,4,1,0,1,0,0,SE28,2023
SE28_18-07-2023.pdf,"Santiago, Consultorio Steeger",8,3,1,0,0,0,0,SE28,2023
SE28_18-07-2023.pdf,"Santiago, Consultorio Avendaño",2,0,0,0,0,0,0,SE28,2023
SE28_18-07-2023.pdf,"Santiago, Consultorio Barros Luco",1,1,0,0,0,0,0,SE28,2023
SE28_18-07-2023.pdf,"Santiago, Consultorio Ariztía",3,2,0,0,0,0,1,SE28,2023
SE28_18-07-2023.pdf,Otros R.M**,2,2,0,0,0,0,2,SE28,2023
SE03_24-01-2023.pdf,R.M. Sur Exequiel González C.,10,2,0,1,1,0,0,SE03,2023
SE03_24-01-2023.pdf,R.M. Occidente Félix Bulnes,35,1,0,1,0,0,0,SE03,2023
SE03_24-01-2023.pdf,R.M. Occidente San Juan de Dios,30,3,0,1,1,0,1,SE03,2023
SE03_24-01-2023.pdf,R.M. Suroriente Padre Hurtado,70,3,0,3,0,0,0,SE03,2023
SE03_24-01-2023.pdf,R.M. Oriente Hospital del Tórax*,0,0,0,0,0,0,0,SE03,2023
SE03_24-01-2023.pdf,R.M. Oriente Hospital Militar,4,1,0,0,0,0,0,SE03,2023
SE03_24-01-2023.pdf,"Santiago, Consultorio Avendaño",2,1,0,1,0,0,0,SE03,2023
SE03_24-01-2023.pdf,"Santiago, Consultorio Barros Luco",1,0,0,0,0,0,0,SE03,2023
SE03_24-01-2023.pdf,Otros R.M**,1,1,0,0,0,1,0,SE03,2023
SE29_23-07-2019.pdf,R.M. Sur Exequiel González C.,136,108,102,0,1,2,1,SE29,2019
SE29_23-07-2019.pdf,R.M. Occidente Félix Bulnes,145,108,87,3,8,3,5,SE29,2019
SE29_23-07-2019.pdf,R.M. Occidente San Juan de Dios,175,60,26,0,4,8,22,SE29,2019
SE29_23-07-2019.pdf,R.M. Suroriente Padre Hurtado,141,70,60,0,1,0,6,SE29,2019
SE29_23-07-2019.pdf,R.M. Oriente Hospital del Tórax,53,7,1,0,1,2,1,SE29,2019
SE29_23-07-2019.pdf,R.M. Oriente Hospital Militar,17,5,5,0,0,0,0,SE29,2019
SE29_23-07-2019.pdf,"Santiago, Consultorio Steeger",2,1,0,0,0,0,1,SE29,2019
SE29_23-07-2019.pdf,"Santiago, Consultorio Avendaño",7,3,1,1,0,0,1,SE29,2019
SE29_23-07-2019.pdf,"Santiago, Consultorio 5",1,1,0,0,0,0,1,SE29,2019
SE29_23-07-2019.pdf,"Santiago, Consultorio Barros Luco",3,0,0,0,0,0,0,SE29,2019
SE29_23-07-2019.pdf,"Santiago, Consultorio Ariztía",2,0,0,0,0,0,0,SE29,2019
SE29_23-07-2019.pdf,Otros R.M**,23,23,0,0,0,10,13,SE29,2019
SE16_23-04-2019.pdf,R.M. Sur Exequiel González C.,23,0,0,0,0,0,0,SE16,2019
SE16_23-04-2019.pdf,R.M. Occidente Félix Bulnes,28,3,0,2,1,0,0,SE16,2019
SE16_23-04-2019.pdf,R.M. Occidente San Juan de Dios,77,4,0,1,0,3,0,SE16,2019
SE16_23-04-2019.pdf,R.M. Suroriente Padre Hurtado,21,2,0,0,1,1,0,SE16,2019
SE16_23-04-2019.pdf,R.M. Oriente Hospital del Tórax,17,3,0,2,0,0,0,SE16,2019
SE16_23-04-2019.pdf,R.M. Oriente Hospital Militar,5,0,0,0,0,0,0,SE16,2019
SE16_23-04-2019.pdf,"Santiago, Consultorio Avendaño",1,0,0,0,0,0,0,SE16,2019
SE16_23-04-2019.pdf,"Santiago, Consultorio Ariztía",1,0,0,0,0,0,0,SE16,2019
SE16_23-04-2019.pdf,Otros R.M**,9,9,0,0,0,9,0,SE16,2019
SE05_07-02-2023.pdf,R.M. Sur Exequiel González C.,10,2,0,1,0,0,1,SE05,2023
SE05_07-02-2023.pdf,R.M. Occidente Félix Bulnes,30,1,0,1,0,0,0,SE05,2023
SE05_07-02-2023.pdf,R.M. Occidente San Juan de Dios,48,5,0,1,0,0,0,SE05,2023
SE05_07-02-2023.pdf,R.M. Suroriente Padre Hurtado,69,10,0,9,0,0,1,SE05,2023
SE05_07-02-2023.pdf,R.M. Oriente Hospital del Tórax,12,0,0,0,0,0,0,SE05,2023
SE05_07-02-2023.pdf,R.M. Oriente Hospital Militar,8,1,0,0,0,0,0,SE05,2023
SE05_07-02-2023.pdf,"Santiago, Consultorio Avendaño",2,1,0,1,0,0,0,SE05,2023
SE05_07-02-2023.pdf,"Santiago, Consultorio 5",1,0,0,0,0,0,0,SE05,2023
SE05_07-02-2023.pdf,"Santiago, Consultorio Ariztía",3,1,0,0,1,0,0,SE05,2023
SE05_07-02-2023.pdf,Otros R.M**,3,3,0,0,0,0,3,SE05,2023
SE25_29-06-2021.pdf,R.M. Sur Exequiel González C.,17,2,2,0,0,0,0,SE25,2021
SE25_29-06-2021.pdf,R.M. Occidente Félix Bulnes,21,0,0,0,0,0,0,SE25,2021
SE25_29-06-2021.pdf,R.M. Occidente San Juan de Dios,25,0,0,0,0,0,0,SE25,2021
SE25_29-06-2021.pdf,R.M. Suroriente Padre Hurtado,1,1,1,0,0,0,0,SE25,2021
SE25_29-06-2021.pdf,R.M. Oriente Hospital del Tórax,1,0,0,0,0,0,0,SE25,2021
SE25_29-06-2021.pdf,R.M. Oriente Hospital Militar,3,0,0,0,0,0,0,SE25,2021
SE40_12-10-2021.pdf,R.M. Sur Exequiel González C.,32,12,9,0,3,0,0,SE40,2021
SE40_12-10-2021.pdf,R.M. Occidente Félix Bulnes,46,20,15,2,3,0,0,SE40,2021
SE40_12-10-2021.pdf,R.M. Occidente San Juan de Dios,30,5,2,0,3,0,0,SE40,2021
SE40_12-10-2021.pdf,R.M. Suroriente Padre Hurtado,44,17,14,3,0,0,0,SE40,2021
SE40_12-10-2021.pdf,R.M. Oriente Hospital del Tórax*,0,0,0,0,0,0,0,SE40,2021
SE40_12-10-2021.pdf,"Santiago, Consultorio Avendaño",1,0,0,0,0,0,0,SE40,2021
SE11_17-03-2020.pdf,R.M. Sur Exequiel González C.,18,1,0,0,1,0,0,SE11,2020
SE11_17-03-2020.pdf,R.M. Occidente Félix Bulnes,67,4,0,3,0,0,1,SE11,2020
SE11_17-03-2020.pdf,R.M. Occidente San Juan de Dios*,0,0,0,0,0,0,0,SE11,2020
SE11_17-03-2020.pdf,R.M. Suroriente Padre Hurtado,15,0,0,0,0,0,0,SE11,2020
SE11_17-03-2020.pdf,R.M. Oriente Hospital del Tórax,45,0,0,0,0,0,0,SE11,2020
SE11_17-03-2020.pdf,R.M. Oriente Hospital Militar,4,0,0,0,0,0,0,SE11,2020
SE11_17-03-2020.pdf,Otros R.M**,3,3,0,0,0,2,1,SE11,2020
SE15_20-04-2021.pdf,R.M. Sur Exequiel González C.,14,0,0,0,0,0,0,SE15,2021
SE15_20-04-2021.pdf,R.M. Occidente Félix Bulnes,15,2,2,0,0,0,0,SE15,2021
SE15_20-04-2021.pdf,R.M. Occidente San Juan de Dios,38,0,0,0,0,0,0,SE15,2021
SE15_20-04-2021.pdf,R.M. Suroriente Padre Hurtado,0,0,0,0,0,0,0,SE15,2021
SE15_20-04-2021.pdf,R.M. Oriente Hospital del Tórax,9,0,0,0,0,0,0,SE15,2021
SE15_20-04-2021.pdf,R.M. Oriente Hospital Militar,3,0,0,0,0,0,0,SE15,2021
SE29_23-07-2024.pdf,R.M. Sur Exequiel González C.,100,58,39,1,7,0,0,SE29,2024
SE29_23-07-2024.pdf,R.M. Occidente Félix Bulnes,138,88,54,3,4,0,0,SE29,2024
SE29_23-07-2024.pdf,R.M. Occidente San Juan de Dios,132,25,14,0,0,0,0,SE29,2024
SE29_23-07-2024.pdf,R.M. Suroriente Padre Hurtado,182,55,40,1,0,3,0,SE29,2024
SE29_23-07-2024.pdf,R.M. Oriente Hospital del Tórax,8,3,1,0,0,0,0,SE29,2024
SE29_23-07-2024.pdf,R.M. Oriente Hospital Militar,10,2,0,0,0,0,0,SE29,2024
SE29_23-07-2024.pdf,"Santiago, Consultorio Steeger",3,1,1,0,0,0,0,SE29,2024
SE29_23-07-2024.pdf,"Santiago, Consultorio Avendaño",5,5,0,0,0,0,0,SE29,2024
SE29_23-07-2024.pdf,"Santiago, Consultorio 5",4,0,0,0,0,0,0,SE29,2024
SE29_23-07-2024.pdf,"Santiago, Consultorio Barros Luco",5,0,0,0,0,0,0,SE29,2024
SE29_23-07-2024.pdf,"Santiago, Consultorio Ariztía",1,0,0,0,0,0,0,SE29,2024
SE29_23-07-2024.pdf,Otros R.M**,2,2,0,0,0,2,0,SE29,2024
SE16_23-04-2024.pdf,R.M. Sur Exequiel Gonzalez C.,6,0,0,0,0,0,0,SE16,2024
SE16_23-04-2024.pdf,R.M. Occidente Félix Bulnes,102,54,0,4,6,9,0,SE16,2024
SE16_23-04-2024.pdf,R.M. Occidente San Juan de Dios,106,23,0,0,0,10,0,SE16,2024
SE16_23-04-2024.pdf,R.M. Suroriente Padre Hurtado,167,37,0,0,0,22,0,SE16,2024
SE16_23-04-2024.pdf,R.M. Oriente Hospital del Torax,7,2,0,0,0,0,0,SE16,2024
SE16_23-04-2024.pdf,R.M. Oriente Hospital Militar,9,3,0,0,0,0,0,SE16,2024
SE16_23-04-2024.pdf,"Santiago, Consultorio Steeger",3,3,0,0,0,1,0,SE16,2024
SE16_23-04-2024.pdf,"Santiago, Consultorio Avendaño",2,1,0,0,0,0,0,SE16,2024
SE16_23-04-2024.pdf,"Santiago, Consultorio 5",24,0,0,0,0,0,0,SE16,2024
SE16_23-04-2024.pdf,"Santiago, Consultorio Barros Luco",3,1,0,0,0,1,0,SE16,2024
SE16_23-04-2024.pdf,"Santiago, Consultorio Ariztía",5,3,0,0,0,1,0,SE16,2024
SE16_23-04-2024.pdf,Otros R.M**,6,6,0,0,0,6,0,SE16,2024
SE35_06-09-2022.pdf,R.M. Sur Exequiel González C.,52,8,2,1,3,0,0,SE35,2022
SE35_06-09-2022.pdf,R.M. Occidente Félix Bulnes*,0,0,0,0,0,0,0,SE35,2022
SE35_06-09-2022.pdf,R.M. Occidente San Juan de Dios,66,15,1,0,2,7,0,SE35,2022
SE35_06-09-2022.pdf,R.M. Suroriente Padre Hurtado,119,7,1,2,0,3,0,SE35,2022
SE35_06-09-2022.pdf,R.M. Oriente Hospital del Tórax,32,8,1,1,2,3,0,SE35,2022
SE35_06-09-2022.pdf,R.M. Oriente Hospital Militar,10,5,2,0,0,0,0,SE35,2022
SE35_06-09-2022.pdf,"Santiago, Consultorio Steeger",7,3,0,2,0,0,0,SE35,2022
SE35_06-09-2022.pdf,"Santiago, Consultorio Avendaño",10,4,0,1,2,0,0,SE35,2022
SE35_06-09-2022.pdf,"Santiago, Consultorio 5",3,0,0,0,0,0,0,SE35,2022
SE35_06-09-2022.pdf,"Santiago, Consultorio Barros Luco",10,0,0,0,0,0,0,SE35,2022
SE35_06-09-2022.pdf,Otros R.M**,8,8,0,0,0,8,0,SE35,2022
SE09_04-03-2025.pdf,R.M. Sur Exequiel González C.,37,12,0,0,0,1,0,SE09,2025
SE09_04-03-2025.pdf,R.M. Occidente Félix Bulnes,60,10,0,0,0,0,0,SE09,2025
SE09_04-03-2025.pdf,R.M. Occidente San Juan de Dios,71,18,0,0,0,0,1,SE09,2025
SE09_04-03-2025.pdf,R.M. Suroriente Padre Hurtado,55,8,0,0,0,1,1,SE09,2025
SE09_04-03-2025.pdf,R.M. Oriente Hospital del Tórax,2,0,0,0,0,0,0,SE09,2025
SE09_04-03-2025.pdf,R.M. Oriente Hospital Militar,4,1,0,0,0,0,0,SE09,2025
SE09_04-03-2025.pdf,"Santiago, Consultorio Steeger",3,2,0,0,0,0,0,SE09,2025
SE09_04-03-2025.pdf,"Santiago, Consultorio Avendaño",4,4,0,0,0,0,0,SE09,2025
SE09_04-03-2025.pdf,"Santiago, Consultorio 5",7,1,0,0,0,0,0,SE09,2025
SE09_04-03-2025.pdf,"Santiago, Consultorio Barros Luco",1,0,0,0,0,0,0,SE09,2025
SE09_04-03-2025.pdf,"Santiago, Consultorio Ariztía",1,0,0,0,0,0,0,SE09,2025
SE06_11-02-2025.pdf,R.M. Sur Exequiel González C.,26,8,0,1,0,0,0,SE06,2025
SE06_11-02-2025.pdf,R.M. Occidente Félix Bulnes,46,9,0,0,0,0,0,SE06,2025
SE06_11-02-2025.pdf,R.M. Occidente San Juan de Dios,58,11,0,1,0,0,1,SE06,2025
SE06_11-02-2025.pdf,R.M. Suroriente Padre Hurtado,39,8,0,0,0,0,2,SE06,2025
SE06_11-02-2025.pdf,R.M. Oriente Hospital del Tórax,4,1,0,0,0,0,0,SE06,2025
SE06_11-02-2025.pdf,R.M. Oriente Hospital Militar,2,1,0,0,0,0,0,SE06,2025
SE06_11-02-2025.pdf,"Santiago, Consultorio Avendaño",9,5,0,0,0,0,0,SE06,2025
SE06_11-02-2025.pdf,"Santiago, Consultorio 5",2,1,1,0,0,0,0,SE06,2025
SE06_11-02-2025.pdf,"Santiago, Consultorio Barros Luco",3,0,0,0,0,0,0,SE06,2025
SE06_11-02-2025.pdf,Otros R.M**,2,2,0,0,0,2,0,SE06,2025
SE04_31-01-2023.pdf,R.M. Sur Exequiel González C.,4,0,0,0,0,0,0,SE04,2023
SE04_31-01-2023.pdf,R.M. Occidente Félix Bulnes,36,2,0,0,2,0,0,SE04,2023
SE04_31-01-2023.pdf,R.M. Occidente San Juan de Dios,36,8,0,1,3,0,0,SE04,2023
SE04_31-01-2023.pdf,R.M. Suroriente Padre Hurtado,53,4,0,2,0,1,1,SE04,2023
SE04_31-01-2023.pdf,R.M. Oriente Hospital del Tórax,11,1,0,1,0,0,0,SE04,2023
SE04_31-01-2023.pdf,R.M. Oriente Hospital Militar,8,1,0,0,0,0,0,SE04,2023
SE04_31-01-2023.pdf,"Santiago, Consultorio Avendaño",3,2,0,1,0,0,1,SE04,2023
SE04_31-01-2023.pdf,"Santiago, Consultorio Barros Luco",1,1,0,0,0,0,1,SE04,2023
SE04_31-01-2023.pdf,"Santiago, Consultorio Ariztía",2,1,0,1,0,0,0,SE04,2023
SE04_31-01-2023.pdf,Otros R.M**,1,1,0,0,0,1,0,SE04,2023
SE36_10-09-2019.pdf,R.M. Sur Exequiel González C.,64,20,9,0,4,0,0,SE36,2019
SE36_10-09-2019.pdf,R.M. Occidente Félix Bulnes,92,32,12,3,3,0,1,SE36,2019
SE36_10-09-2019.pdf,R.M. Occidente San Juan de Dios,151,33,6,4,0,0,23,SE36,2019
SE36_10-09-2019.pdf,R.M. Suroriente Padre Hurtado,82,23,5,3,1,0,4,SE36,2019
SE36_10-09-2019.pdf,R.M. Oriente Hospital del Tórax,37,4,0,1,0,0,2,SE36,2019
SE36_10-09-2019.pdf,R.M. Oriente Hospital Militar,9,2,1,0,0,0,0,SE36,2019
SE36_10-09-2019.pdf,"Santiago, Consultorio Steeger",3,2,1,0,0,0,0,SE36,2019
SE36_10-09-2019.pdf,"Santiago, Consultorio Avendaño",2,2,0,0,0,0,2,SE36,2019
SE36_10-09-2019.pdf,"Santiago, Consultorio Barros Luco",1,0,0,0,0,0,0,SE36,2019
SE36_10-09-2019.pdf,"Santiago, Consultorio Ariztía",1,1,0,0,0,0,1,SE36,2019
SE36_10-09-2019.pdf,Otros R.M**,19,19,0,0,0,4,15,SE36,2019
SE27_11-07-2023.pdf,R.M. Sur Exequiel González C.,64,35,29,0,2,0,1,SE27,2023
SE27_11-07-2023.pdf,R.M. Occidente Félix Bulnes,149,93,42,5,3,0,6,SE27,2023
SE27_11-07-2023.pdf,R.M. Occidente San Juan de Dios,147,36,13,4,1,1,4,SE27,2023
SE27_11-07-2023.pdf,R.M. Suroriente Padre Hurtado,163,31,21,2,0,0,1,SE27,2023
SE27_11-07-2023.pdf,R.M. Oriente Hospital del Tórax,60,13,3,0,2,0,0,SE27,2023
SE27_11-07-2023.pdf,R.M. Oriente Hospital Militar,10,6,3,0,0,0,0,SE27,2023
SE27_11-07-2023.pdf,"Santiago, Consultorio Steeger",5,1,0,0,0,1,0,SE27,2023
SE27_11-07-2023.pdf,"Santiago, Consultorio Avendaño",3,1,0,0,0,1,0,SE27,2023
SE27_11-07-2023.pdf,"Santiago, Consultorio 5",3,3,0,0,0,0,1,SE27,2023
SE27_11-07-2023.pdf,"Santiago, Consultorio Barros Luco",3,0,0,0,0,0,0,SE27,2023
SE27_11-07-2023.pdf,"Santiago, Consultorio Ariztía",1,1,0,0,0,0,1,SE27,2023
SE27_11-07-2023.pdf,Otros R.M**,2,2,0,0,0,1,1,SE27,2023
SE12_26-03-2019.pdf,R.M. Sur Exequiel González C.,27,2,0,1,1,0,0,SE12,2019
SE12_26-03-2019.pdf,R.M. Occidente Félix Bulnes,25,2,0,1,1,0,0,SE12,2019
SE12_26-03-2019.pdf,R.M. Occidente San Juan de Dios,48,1,0,0,1,0,0,SE12,2019
SE12_26-03-2019.pdf,R.M. Suroriente Padre Hurtado,26,1,0,0,1,0,0,SE12,2019
SE12_26-03-2019.pdf,R.M. Oriente Hospital del Tórax,12,0,0,0,0,0,0,SE12,2019
SE12_26-03-2019.pdf,R.M. Oriente Hospital Militar,4,0,0,0,0,0,0,SE12,2019
SE12_26-03-2019.pdf,"Santiago, Consultorio Ariztía",1,0,0,0,0,0,0,SE12,2019
SE12_26-03-2019.pdf,Otros R.M**,14,13,0,0,0,12,1,SE12,2019
SE44_08-11-2022.pdf,R.M. Sur Exequiel González C.,23,4,0,1,2,1,0,SE44,2022
SE44_08-11-2022.pdf,R.M. Occidente Félix Bulnes,61,11,0,2,0,9,0,SE44,2022
SE44_08-11-2022.pdf,R.M. Occidente San Juan de Dios,67,12,0,0,0,7,0,SE44,2022
SE44_08-11-2022.pdf,R.M. Suroriente Padre Hurtado,75,11,0,1,0,10,0,SE44,2022
SE44_08-11-2022.pdf,R.M. Oriente Hospital del Tórax,20,3,0,0,0,2,0,SE44,2022
SE44_08-11-2022.pdf,R.M. Oriente Hospital Militar,13,9,0,0,0,3,0,SE44,2022
SE44_08-11-2022.pdf,"Santiago, Consultorio Steeger",1,0,0,0,0,0,0,SE44,2022
SE44_08-11-2022.pdf,"Santiago, Consultorio Avendaño",6,2,0,1,0,1,0,SE44,2022
SE44_08-11-2022.pdf,"Santiago, Consultorio Barros Luco",3,0,0,0,0,0,0,SE44,2022
SE44_08-11-2022.pdf,"Santiago, Consultorio Ariztía",7,4,0,0,1,3,0,SE44,2022
SE44_08-11-2022.pdf,Otros R.M**,14,14,0,0,0,13,1,SE44,2022
SE48_06-12-2022.pdf,R.M. Sur Exequiel González C.,20,1,0,0,1,0,0,SE48,2022
SE48_06-12-2022.pdf,R.M. Occidente Félix Bulnes,66,14,1,1,3,8,0,SE48,2022
SE48_06-12-2022.pdf,R.M. Occidente San Juan de Dios,61,18,0,0,0,8,0,SE48,2022
SE48_06-12-2022.pdf,R.M. Suroriente Padre Hurtado*,0,0,0,0,0,0,0,SE48,2022
SE48_06-12-2022.pdf,R.M. Oriente Hospital del Tórax,10,1,0,0,1,0,0,SE48,2022
SE48_06-12-2022.pdf,R.M. Oriente Hospital Militar,7,2,0,0,1,0,0,SE48,2022
SE48_06-12-2022.pdf,"Santiago, Consultorio Steeger",3,3,0,1,0,2,0,SE48,2022
SE48_06-12-2022.pdf,"Santiago, Consultorio Avendaño",3,1,0,0,0,1,0,SE48,2022
SE48_06-12-2022.pdf,"Santiago, Consultorio 5",2,0,0,0,0,0,0,SE48,2022
SE48_06-12-2022.pdf,"Santiago, Consultorio Barros Luco",5,0,0,0,0,0,0,SE48,2022
SE48_06-12-2022.pdf,"Santiago, Consultorio Ariztía",5,0,0,0,0,0,0,SE48,2022
SE48_06-12-2022.pdf,Otros R.M**,14,14,0,0,0,14,0,SE48,2022
SE31_09-08-2022.pdf,R.M. Sur Exequiel González C.,46,13,9,0,2,1,0,SE31,2022
SE31_09-08-2022.pdf,R.M. Occidente Félix Bulnes,110,42,16,0,6,10,0,SE31,2022
SE31_09-08-2022.pdf,R.M. Occidente San Juan de Dios*,0,0,0,0,0,0,0,SE31,2022
SE31_09-08-2022.pdf,R.M. Suroriente Padre Hurtado,160,18,8,0,1,7,0,SE31,2022
SE31_09-08-2022.pdf,R.M. Oriente Hospital del Tórax,23,3,0,0,1,1,0,SE31,2022
SE31_09-08-2022.pdf,"Santiago, Consultorio Barros Luco",6,0,0,0,0,0,0,SE31,2022
SE31_09-08-2022.pdf,"Santiago, Consultorio Ariztía",8,5,0,1,1,3,0,SE31,2022
